AHST|Hamburg Holstenstraße|ds100
AHTB|Hüttenbusch|ds100
AHWA|Heinschenwalde|ds100
AHWH|Herwigshof|ds100
AHWT|Hohenwestedt|ds100
AHZ|Hitzacker|ds100
AHZH|Herzhorn|ds100
AIS|Hamburg-Iserbrook|ds100
AIZ|Itzehoe|ds100
AIZQ|Itzehoe Bedienstandort|ds100
AIZX|Itzehoe ESTW-Z|ds100
AJ|Jübek|ds100
AJA|Jameln (Kr Dannenberg)|ds100
AJF|Jesteburg|ds100
AJHH|Jarrenwisch|ds100
AJUS|Hamburg Jungfernstieg|ds100
AK|Kiel Hbf|ds100
AK K|Kiel Hbf Kaistraße|ds100
AK O|Kiel Hbf (Ko)|ds100
AK Z|Kiel Hbf ZOB|ds100
AKAD|Katharinenheerd|ds100
AKADA|Katharinenheerd Abzw․ Bahnhof|ds100
AKAR|Karwitz (Kr Dannenberg)|ds100
AKC|Klecken|ds100
AKD|Kleinkummerfeld|ds100
AKE|Kiel-Elmschenhagen|ds100
AKEL|Kiel-Ellerbek|ds100
AKEW|Kiel-Wellsee|ds100
AKFX|Kiel - Flensburg ESTW-R Bedienplatz|ds100
AKGA|Kiel-Gaarden|ds100
AKGB|Kiel-Gaarden Bk|ds100
AKGG|Kiel-Gaarden BZ-Grenze|ds100
AKH|Kiel-Hassee Cittipark|ds100
AKHB|Karlshöfen (Bz Bremen)|ds100
AKHD|Kremperheide|ds100
AKHG|Kiel Hgbf|ds100
AKHW|Kiel Howaldtswerke|ds100
AKI|Keitum|ds100
AKI B|Keitum Bahnhof|ds100
AKIM|Keitum Schnittis Eck|ds100
AKIMK|Keitum Kirche|ds100
AKIMO|Keitum Ost|ds100
AKIMW|Keitum Parkplatz West|ds100
AKLT|Klötzin|ds100
AKLX|Kiel ESTW-UZ|ds100
AKM|Krempe|ds100
AKMA|Kiel Marinearsenal|ds100
AKML|Kuhmühlen|ds100
AKNG|Kiel Seehafen/AKN Grenze|ds100
AKNH|Kiel Nordhafen|ds100
AKNK|Kiel Norwegenkai KV|ds100
AKNKO|Kiel Norwegenkai (Ostufer)|ds100
AKOH|Kiel Ostuferhafen|ds100
AKPM|Kampen (Sylt) Mitte|ds100
AKPMD|Kampen (Sylt) Dikstieg|ds100
AKPMK|Kampen (Sylt) Klappholttal|ds100
AKPMS|Kampen (Sylt) Süd|ds100
AKPP|Kappeln (Schlei)|ds100
AKQ|Kiel-Hassee Bedienstandort|ds100
AKRH|Kronshagen|ds100
AKRS|Krupunder|ds100
AKRU|Kiel-Russee|ds100
AKS|Hamburg Königstraße|ds100
AKSA|Kiel Süd (Ss)|ds100
AKSC|Kiel Scheerhafen|ds100
AKSG|Kiel Süd DB-Grenze|ds100
AKSL|Kiel Schulen am Langsee|ds100
AKSM|Kiel Seefischmarkt|ds100
AKSS|Kiel Hbf (Ss)|ds100
AKSU|Kiel Süd|ds100
AKSX|Kiel-Bad Schwartau Strecke ESTW-Z|ds100
AKTH|Kutenholz|ds100
AKTK|Kaltenkirchen (Holst)|ds100
AKTKD|Kaltenkirchen dodenhof|ds100
AKTKH|Kaltenkirchen Holstentherme|ds100
AKTKS|Kaltenkirchen Süd|ds100
AKTO|Kating|ds100
AKUD|Kudensee|ds100
AKUP|Kupfermühle|ds100
AKVI|Kiel VST Test- und Integrationssystem 1|ds100
AKVS|Kiel VST Test- und Integrationssystem 3|ds100
AKVU|Kiel VST Test- und Integrationssystem 2|ds100
AKW|Kiel West|ds100
AKWA|Kiel Wiener Allee|ds100
AKWK|Kiel-Wik|ds100
AKWS|Hamburg Kornweg (Klein Borstel)|ds100
AKX|Klanxbüll|ds100
AL|Lübeck Hbf|ds100
AL Z|Lübeck ZOB/Hbf|ds100
ALA|Hamburg-Langenfelde Bbf|ds100
ALAA|Hamburg-Langenfelde Abzw|ds100
ALAG|Hamburg-Langenfelde Gbf|ds100
ALAL|Langeln (Holst)|ds100
ALAN|Hamburg Landwehr|ds100
ALAS|Hamburg Landungsbrücken|ds100
ALASK|Hamburg Landungsbr Brücke 7 Katamaran|ds100
ALASQ|S-Bahn Hamburg Nord Bedienstandort|ds100
ALAU|Lauenburg (Elbe)|ds100
ALB|Lübeck Flughafen|ds100
ALBG|Lüneburg|ds100
ALBG1|Lüneburg EST|ds100
ALBGA|Lüneburg AVL|ds100
ALBGB|Lüneburg Busbf|ds100
ALBGG|Lüneburg Gbf|ds100
ALBGN|Lüneburg Nordkopf|ds100
ALBGW|Lüneburg-Westseite|ds100
ALBQ|Lüneburg Bedienstandort|ds100
ALBX|Lübeck - Büchen Strecke ESTW-Z|ds100
ALCH|Lüchow|ds100
ALD|Lübeck-Dänischburg|ds100
ALD A|Lübeck-Dänischburg IKEA Abzw|ds100
ALD B|Lübeck-Dänischburg Grenzweg Bus|ds100
ALD G|Lübeck-Dänischburg Gbf|ds100
ALE|Leitstade|ds100
ALF|List (Sylt) Fähre (Hafen)|ds100
ALFD|Lentföhrden|ds100
ALG|Langenhorn (Schlesw)|ds100
ALGB|Schönkirchen Landgraben|ds100
ALGD|Lägerdorf|ds100
ALGE|Lübeck-Genin|ds100
ALGM|Elmshorn Langenmoor|ds100
ALGX|Lüneburg ESTW-UZ|ds100
ALH|Lindholm|ds100
ALHA|Lübeck Hafen|ds100
ALHG|Lehnshallig|ds100
ALHS|Lübeck Hochschulstadtteil|ds100
ALHSA|Lübeck Alexander-Fleming-Straße|ds100
ALIN|Lindaunis|ds100
ALIS|List (Sylt)|ds100
ALISA|List (Sylt) Alte Bahnhofstraße|ds100
ALISB|List (Sylt) Am Brünk|ds100
ALISD|List (Sylt) Dünenstraße|ds100
ALISG|List (Sylt) Mövengrund|ds100
ALISH|List (Sylt) Süderhörn|ds100
ALISJ|List (Sylt) Mövenberg DJH|ds100
ALISM|List (Sylt) Mellhörn|ds100
ALISS|List (Sylt) Schule|ds100
ALISW|List (Sylt) Weststrand|ds100
ALJ|Lütjenburg|ds100
ALJK|Lütjenkamp|ds100
ALKG|Lübeck Konstinbahnhof Grenze|ds100
ALKN|Lübeck-Kücknitz|ds100
ALKO|Lübeck Konstinbahnhof|ds100
ALKR|Lübeck-Kücknitz Roter Hahn|ds100
ALMO|Lübeck-Moisling|ds100
ALN|Lübeck-Niendorf|ds100
ALNX|Lüneburg Nord ESTW-UZ|ds100
ALOF|Hamburg-Lokstedt|ds100
ALOT|Lottorf|ds100
ALQ|Lübeck Bedienstandort|ds100
ALR|Lübeck Hgbf|ds100
ALRA|Lübeck Hgbf Abzw|ds100
ALRD|Lübeck Duve|ds100
ALRT|Lübeck Schlutuper Tannen|ds100
ALS|Lensahn|ds100
ALSC|Lübeck-Schlutup|ds100
ALSH|Lensahn FBQ|ds100
ALSJ|Lübeck St Jürgen|ds100
ALSK|Lübeck Skandinavienkai|ds100
